DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
5,6,54,24,Healthy,0.10131140598865457
5,6,54,24,Healthy,-0.0034036945428749937
5,6,54,24,Healthy,1.1409445146568271
5,6,54,24,Healthy,0.26938433390733785
5,6,54,24,Healthy,0.30235615092389273
5,6,54,24,Healthy,0.4021743238426379
5,6,54,24,Healthy,0.45400505074768616
5,6,54,24,Healthy,0.5515520209537881
5,6,54,24,Healthy,0.6077835342472615
5,6,54,24,Healthy,0.5906507155586029
5,6,54,24,Healthy,1.670003258054358
5,6,54,24,Healthy,0.6637649445177691
5,6,54,24,Healthy,0.8177159681274802
5,6,54,24,Healthy,0.8262376176864289
5,6,54,24,Healthy,0.9997441072407781
5,6,54,24,Healthy,1.0219621189526935
5,6,54,24,Healthy,0.9275271330290343
5,6,54,24,Healthy,0.9459541913125415
5,6,54,24,Healthy,2.025476452191542
5,6,54,24,Healthy,0.9980224025077995
5,6,54,24,Healthy,1.0043992280620992
5,6,54,24,Healthy,0.9623789119699331
5,6,54,24,Healthy,1.0834151850664946
5,6,54,24,Healthy,1.0446473113235015
5,6,54,24,Healthy,0.9453543522670962
5,6,54,24,Healthy,0.988974878696823
5,6,54,24,Healthy,1.8177265693011313
5,6,54,24,Healthy,0.8324949548727894
5,6,54,24,Healthy,0.8002415340680544
5,6,54,24,Healthy,0.7527415694691573
5,6,54,24,Healthy,0.6799936825495929
5,6,54,24,Healthy,0.6730075521905419
5,6,54,24,Healthy,0.561347076461929
5,6,54,24,Healthy,0.5647757275712897
5,6,54,24,Healthy,1.3957871459475375
5,6,54,24,Healthy,0.3961838585844396
5,6,54,24,Healthy,0.4152612105777247
5,6,54,24,Healthy,0.2473425097868783
5,6,54,24,Healthy,0.16369823109942983
5,6,54,24,Healthy,0.09160326679808814
5,6,54,24,Healthy,0.06401928724530317
5,6,54,24,Healthy,-0.04993595854466144
5,6,54,24,Healthy,0.8932908063258842
5,6,54,24,Healthy,-0.26616926449050665
5,6,54,24,Healthy,-0.1953084688831223
5,6,54,24,Healthy,-0.4419766127344636
5,6,54,24,Healthy,-0.4141831657569287
5,6,54,24,Healthy,-0.614569125493629
5,6,54,24,Healthy,-0.5125788404661484
5,6,54,24,Healthy,-0.6733263347794468
5,6,54,24,Healthy,0.2766555352726195
5,6,54,24,Healthy,-0.7930197608159644
5,6,54,24,Healthy,-0.8585134886007086
5,6,54,24,Healthy,-0.890797029738647
5,6,54,24,Healthy,-0.8868493248193785
5,6,54,24,Healthy,-0.9026698536054264
5,6,54,24,Healthy,-0.8935486965272746
5,6,54,24,Healthy,-1.0168266243487862
5,6,54,24,Healthy,0.08430717233027293
5,6,54,24,Healthy,-1.0090859261066034
5,6,54,24,Healthy,-1.0472304247638433
5,6,54,24,Healthy,-1.0144148988949144
5,6,54,24,Healthy,-1.0122584398561234
5,6,54,24,Healthy,-0.9292923466465326
5,6,54,24,Healthy,-0.9451226543410766
5,6,54,24,Healthy,-0.922212404023476
5,6,54,24,Healthy,0.10929346952732082
5,6,54,24,Healthy,-0.8555596946603314
5,6,54,24,Healthy,-0.7604373946021484
5,6,54,24,Healthy,-0.7766186137675585
5,6,54,24,Healthy,-0.7529786799970647
5,6,54,24,Healthy,-0.6295695504033885
5,6,54,24,Healthy,-0.6115714361094465
5,6,54,24,Healthy,-0.532439364237955
5,6,54,24,Healthy,0.5719913563829166
5,6,54,24,Healthy,-0.3672377056360935
5,6,54,24,Healthy,-0.3003630668949124
5,6,54,24,Healthy,-0.2154898381491063
5,6,54,24,Healthy,-0.1581396382083539
5,6,54,24,Healthy,-0.08065871071739648
5,6,54,24,Healthy,-0.047040398994114184
5,6,54,24,Healthy,0.21453866201768795
5,6,54,24,Healthy,1.2254421205594517
5,6,54,24,Healthy,0.22074485207843153
5,6,54,24,Healthy,0.2928013079552115
5,6,54,24,Healthy,0.351474207502517
5,6,54,24,Healthy,0.508629597327093
5,6,54,24,Healthy,0.5051509034679597
5,6,54,24,Healthy,0.5053227264105918
5,6,54,24,Healthy,0.6991351738744449
5,6,54,24,Healthy,1.6765044810324372
5,6,54,24,Healthy,0.7076054826576209
5,6,54,24,Healthy,0.8554976203995724
5,6,54,24,Healthy,1.0016228146352018
5,6,54,24,Healthy,0.8959790514094056
5,6,54,24,Healthy,0.8959880528468485
5,6,54,24,Healthy,0.9111668061789211
5,6,54,24,Healthy,0.9241700819247772
5,6,54,24,Healthy,1.9859097769345901
5,6,54,24,Healthy,1.0048575522797318
5,6,54,25,Healthy,1.0343886345663973
5,6,54,25,Healthy,1.0921019902896456
5,6,54,25,Healthy,1.0577784948725084
5,6,54,25,Healthy,1.0064971022400722
5,6,54,25,Healthy,1.0026142550918409
5,6,54,25,Healthy,0.8637226870376272
5,6,54,25,Healthy,1.8986008433264057
5,6,54,25,Healthy,0.7640564918861777
5,6,54,25,Healthy,0.7874681614925102
5,6,54,25,Healthy,0.7219228283207758
5,6,54,25,Healthy,0.7954064821044602
5,6,54,25,Healthy,0.6315788391239223
5,6,54,25,Healthy,0.6189731980170533
5,6,54,25,Healthy,0.5475751370013
5,6,54,25,Healthy,1.4510332760852944
5,6,54,25,Healthy,0.43135359573962917
5,6,54,25,Healthy,0.21367237694624422
