DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
5,6,54,23,Healthy,0.009909906913275382
5,6,54,23,Healthy,0.10671749998944445
5,6,54,23,Healthy,1.185011872215034
5,6,54,23,Healthy,0.23793708910466843
5,6,54,23,Healthy,0.22953074004355764
5,6,54,23,Healthy,0.33835896472838795
5,6,54,23,Healthy,0.4198389058590727
5,6,54,23,Healthy,0.6237670105548239
5,6,54,23,Healthy,0.7024728118884616
5,6,54,23,Healthy,0.5466774643873447
5,6,54,23,Healthy,1.7809886446874632
5,6,54,23,Healthy,0.7271745325183684
5,6,54,23,Healthy,0.7973911223005773
5,6,54,23,Healthy,0.7921048811399736
5,6,54,23,Healthy,0.8577687354993667
5,6,54,23,Healthy,0.8826171408984498
5,6,54,23,Healthy,0.9228779066878663
5,6,54,23,Healthy,0.9356995881481639
5,6,54,23,Healthy,2.04552466795942
5,6,54,23,Healthy,0.966441712951669
5,6,54,23,Healthy,1.017820590872041
5,6,54,23,Healthy,1.019616740155945
5,6,54,23,Healthy,1.0115516776345477
5,6,54,23,Healthy,0.9058233398573395
5,6,54,23,Healthy,0.8965183397386609
5,6,54,23,Healthy,0.9629355944808593
5,6,54,23,Healthy,1.883729770516125
5,6,54,23,Healthy,0.9489064356449096
5,6,54,23,Healthy,0.8754742599055378
5,6,54,23,Healthy,0.7734741830709753
5,6,54,23,Healthy,0.746514054185239
5,6,54,23,Healthy,0.6501821264118823
5,6,54,23,Healthy,0.6319369984447099
5,6,54,23,Healthy,0.6223639228430996
5,6,54,23,Healthy,1.4915649983193997
5,6,54,23,Healthy,0.362346250103215
5,6,54,23,Healthy,0.3154183126253638
5,6,54,23,Healthy,0.23213444568928382
5,6,54,23,Healthy,0.18862686969734258
5,6,54,23,Healthy,0.039797285034903304
5,6,54,23,Healthy,0.09982324018101758
5,6,54,23,Healthy,-0.13385491970572885
5,6,54,23,Healthy,0.8640478480442482
5,6,54,23,Healthy,-0.19211840992519053
5,6,54,23,Healthy,-0.26134533717217745
5,6,54,23,Healthy,-0.4786046647917814
5,6,54,23,Healthy,-0.46845351470997665
5,6,54,23,Healthy,-0.5380138510235997
5,6,54,23,Healthy,-0.6094797582386016
5,6,54,23,Healthy,-0.6026553938580567
5,6,54,23,Healthy,0.22906335306583492
5,6,54,23,Healthy,-0.6728099601949887
5,6,54,23,Healthy,-0.7599950421037999
5,6,54,23,Healthy,-0.7942264015707753
5,6,54,23,Healthy,-0.8758140327232851
5,6,54,23,Healthy,-0.8804244581765135
5,6,54,23,Healthy,-0.9356439154310442
5,6,54,23,Healthy,-0.9233694122380551
5,6,54,23,Healthy,0.04977251978056746
5,6,54,23,Healthy,-0.9867456008311033
5,6,54,23,Healthy,-1.071931095531211
5,6,54,23,Healthy,-1.036741626877536
5,6,54,23,Healthy,-0.8888633292749863
5,6,54,23,Healthy,-0.9673299644623767
5,6,54,23,Healthy,-0.9168062587278364
5,6,54,23,Healthy,-0.9243963356887994
5,6,54,23,Healthy,0.15862723755847732
5,6,54,23,Healthy,-0.8725951540371755
5,6,54,23,Healthy,-0.8396486046934468
5,6,54,23,Healthy,-0.7804688210617787
5,6,54,23,Healthy,-0.7655872283406978
5,6,54,23,Healthy,-0.5651500895534949
5,6,54,23,Healthy,-0.5140408640545187
5,6,54,23,Healthy,-0.4515317406530191
5,6,54,23,Healthy,0.5431890741974316
5,6,54,23,Healthy,-0.35196281348885755
5,6,54,23,Healthy,-0.3138947087645585
5,6,54,23,Healthy,-0.18360410579606395
5,6,54,23,Healthy,-0.17760260027425973
5,6,54,23,Healthy,-0.11354792783754078
5,6,54,23,Healthy,-0.06350663667421709
5,6,54,23,Healthy,0.06813007094366437
5,6,54,23,Healthy,1.1871243269513905
5,6,54,23,Healthy,0.28234708741375025
5,6,54,23,Healthy,0.30343628195114414
