2023-08-10 10:08:23,648 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Configure stats pid to 2532
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Loading settings from C:\Users\61493\.config\wandb\settings
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Loading settings from e:\Dev\Deakin\Project_Orion\wandb\settings
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DataScience\\Models\\Action Recognition\\Train.py', 'program': 'e:\\Dev\\Deakin\\Project_Orion\\DataScience\\Models\\Action Recognition\\Train.py'}
2023-08-10 10:08:23,649 INFO    MainThread:2532 [wandb_init.py:_log_setup():507] Logging user logs to e:\Dev\Deakin\Project_Orion\wandb\run-20230810_100823-xwsu6stq\logs\debug.log
2023-08-10 10:08:23,650 INFO    MainThread:2532 [wandb_init.py:_log_setup():508] Logging internal logs to e:\Dev\Deakin\Project_Orion\wandb\run-20230810_100823-xwsu6stq\logs\debug-internal.log
2023-08-10 10:08:23,650 INFO    MainThread:2532 [wandb_init.py:init():547] calling init triggers
2023-08-10 10:08:23,650 INFO    MainThread:2532 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'layer_1': 50, 'activation_1': 'softmax', 'optimizer': 'adam', 'loss': 'sparse_categorical_crossentropy', 'metric': 'accuracy', 'epoch': 30, 'batch_size': 64}
2023-08-10 10:08:23,650 INFO    MainThread:2532 [wandb_init.py:init():596] starting backend
2023-08-10 10:08:23,650 INFO    MainThread:2532 [wandb_init.py:init():600] setting up manager
2023-08-10 10:08:23,653 INFO    MainThread:2532 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-08-10 10:08:23,656 INFO    MainThread:2532 [wandb_init.py:init():606] backend started and connected
2023-08-10 10:08:23,660 INFO    MainThread:2532 [wandb_init.py:init():697] updated telemetry
2023-08-10 10:08:23,700 INFO    MainThread:2532 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-10 10:08:24,329 INFO    MainThread:2532 [wandb_run.py:_on_init():2180] communicating current version
2023-08-10 10:08:24,421 INFO    MainThread:2532 [wandb_run.py:_on_init():2189] got version response 
2023-08-10 10:08:24,421 INFO    MainThread:2532 [wandb_init.py:init():781] starting run threads in backend
2023-08-10 10:08:24,574 INFO    MainThread:2532 [wandb_run.py:_console_start():2159] atexit reg
2023-08-10 10:08:24,574 INFO    MainThread:2532 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-10 10:08:24,574 INFO    MainThread:2532 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-10 10:08:24,574 INFO    MainThread:2532 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-10 10:08:24,575 INFO    MainThread:2532 [wandb_init.py:init():822] run started, returning control to user process
2023-08-10 13:09:52,996 WARNING MsgRouterThr:2532 [router.py:message_loop():77] message_loop has been closed
