PlayerName,battingStyle,bowlingStyle,playingRole,description,image,Team
Devon Conway,Left hand Bat,Right arm Medium,Wicketkeeper Batter,,https://scores.iplt20.com/ipl/playerimages/Devon%20Conway.png,Chennai Super Kings
Ruturaj Gaikwad,Right hand Bat,Right arm Offbreak,Batter,,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png,Chennai Super Kings
Moeen Ali,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.",https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png,Chennai Super Kings
Ben Stokes,Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins.",https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png,Chennai Super Kings
Ambati Rayudu,Right hand Bat,Right arm Offbreak,Middle order Batter,,https://scores.iplt20.com/ipl/playerimages/Ambati%20Rayudu.png,Chennai Super Kings
Shivam Dube,Left hand Bat,Right arm Medium,Allrounder,,https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png,Chennai Super Kings
Ravindra Jadeja,Left hand Bat,Slow Left arm Orthodox,Allrounder,,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png,Chennai Super Kings
MS Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper Batter,,https://scores.iplt20.com/ipl/playerimages/MS%20Dhoni.png,Chennai Super Kings
Mitchell Santner,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. ",https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png,Chennai Super Kings
Wriddhiman Saha,Right hand Bat,,Wicketkeeper Batter,,https://scores.iplt20.com/ipl/playerimages/Wriddhiman%20Saha.png,Gujarat Titans
Shubman Gill,Right hand Bat,Right arm Offbreak,Opening Batter,,https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png,Gujarat Titans
Sai Sudharsan,Left hand Bat,Legbreak,Top order Batter,,https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png,Gujarat Titans
Hardik Pandya,Right hand Bat,Right arm Medium fast,Allrounder,"Hardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. ",https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png,Gujarat Titans
Vijay Shankar,Right hand Bat,Right arm Medium,Allrounder,,https://scores.iplt20.com/ipl/playerimages/Vijay%20Shankar.png,Gujarat Titans
Rahul Tewatia,Left hand Bat,Legbreak,Bowling Allrounder,,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tewatia.png,Gujarat Titans
Rashid Khan,Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. ",https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png,Gujarat Titans
Prabhsimran Singh,Right hand Bat,,Wicketkeeper Batter,,https://scores.iplt20.com/ipl/playerimages/Simran%20Singh.png,Punjab Kings
