name,team,image,battingStyle,bowlingStyle,playingRole,
Najmul Hossain Shanto,Bangladesh,,Left hand Bat,Right arm Offbreak,Top order Batter,
Soumya Sarkar,Bangladesh,,Left hand Bat,Right arm Medium fast,Middle order Batter,
Litton Das,Bangladesh,,Right hand Bat,,Wicketkeeper Batter,
Shakib Al Hasan(c),Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Afif Hossain,Bangladesh,,Left hand Bat,Right arm Offbreak,Allrounder,
Mosaddek Hossain,Bangladesh,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Nurul Hasan,Bangladesh,,Right hand Bat,,Wicketkeeper Batter,
Yasir Ali,Bangladesh,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Wessly Madhevere,Zimbabwe,,Right hand Bat,Right arm Offbreak,Allrounder,
Craig Ervine(c),Zimbabwe,,Left hand Bat,Right arm Offbreak,Middle order Batter,
Milton Shumba,Zimbabwe,,Left hand Bat,Slow Left arm Orthodox,Top order Batter,
Sean Williams,Zimbabwe,,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
Sikandar Raza,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316632.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,
Regis Chakabva,Zimbabwe,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Ryan Burl,Zimbabwe,,Left hand Bat,Legbreak,Middle order Batter,
Brad Evans,Zimbabwe,,Right hand Bat,Right arm Fast,Allrounder,
Richard Ngarava,Zimbabwe,,Left hand Bat,Left arm Fast medium,Bowler,
Blessing Muzarabani,Zimbabwe,,Right hand Bat,Right arm Fast medium,Bowler,
Tendai Chatara,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316683.png",Right hand Bat,Right arm Fast medium,Bowler,
Taskin Ahmed,Bangladesh,,Left hand Bat,Right arm Fast,Bowler,
Hasan Mahmud,Bangladesh,,Right hand Bat,Right arm Medium,Bowler,
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Left hand Bat,Left arm Fast medium,Bowler,
Shakib Al Hasan,Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Nasum Ahmed,Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Mohammad Rizwan,Pakistan,,Right hand Bat,,Wicketkeeper Batter,
Babar Azam(c),Pakistan,,Right hand Bat,Right arm Offbreak,Batter,
Mohammad Nawaz,Pakistan,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mohammad Haris,Pakistan,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Shan Masood,Pakistan,,Left hand Bat,Right arm Medium fast,Opening Batter,
Iftikhar Ahmed,Pakistan,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png",Right hand Bat,Legbreak,Allrounder,
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png",Left hand Bat,Left arm Fast,Bowler,
Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322223.png",Right hand Bat,Right arm Fast,Bowler,
Mohammad Wasim,Pakistan,,Right hand Bat,Right arm Fast medium,Allrounder,
Haris Rauf,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322202.png",Right hand Bat,Right arm Fast,Bowler,
Ebadot Hossain,Bangladesh,,Right hand Bat,Right arm Fast medium,Bowler,
Rahmanullah Gurbaz,Afghanistan,,Right hand Bat,,Wicketkeeper Batter,
Usman Ghani,Afghanistan,,Right hand Bat,,Opening Batter,
Ibrahim Zadran,Afghanistan,,Right hand Bat,Right arm Medium fast,Opening Batter,
Najibullah Zadran,Afghanistan,,Left hand Bat,Right arm Offbreak,Middle order Batter,
Gulbadin Naib,Afghanistan,,Right hand Bat,Right arm Medium fast,Batting Allrounder,
Mohammad Nabi(c),Afghanistan,,Right hand Bat,Right arm Offbreak,Allrounder,
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Right hand Bat,Legbreak Googly,Bowling Allrounder,
Azmatullah Omarzai,Afghanistan,,Right hand Bat,Right arm Medium fast,Allrounder,
Mujeeb Ur Rahman,Afghanistan,,Right hand Bat,Right arm Offbreak,Bowler,
Pathum Nissanka,Sri Lanka,,Right hand Bat,,Top order Batter,
Kusal Mendis,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png",Right hand Bat,Legbreak,Wicketkeeper Batter,
Dhananjaya de Silva,Sri Lanka,,Right hand Bat,Right arm Offbreak,Allrounder,
Charith Asalanka,Sri Lanka,,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Bhanuka Rajapaksa,Sri Lanka,,Left hand Bat,Right arm Medium,Top order Batter,
Dasun Shanaka(c),Sri Lanka,,Right hand Bat,Right arm Medium,Allrounder,
Kasun Rajitha,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowler,
Pramod Madushan,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowler,
Lahiru Kumara,Sri Lanka,,Left hand Bat,Right arm Fast,Bowler,
Maheesh Theekshana,Sri Lanka,,Right hand Bat,Right arm Offbreak,Bowler,
Wanindu Hasaranga de Silva,Sri Lanka,,Right hand Bat,Legbreak,Allrounder,
Fazalhaq Farooqi,Afghanistan,,Right hand Bat,Left arm Fast medium,Bowler,
Fareed Ahmad,Afghanistan,,Left hand Bat,Left arm Fast medium,Bowler,
Mohammad Nabi,Afghanistan,,Right hand Bat,Right arm Offbreak,Allrounder,
Chirag Suri,U.A.E.,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,
Muhammad Waseem,U.A.E.,,Right hand Bat,Right arm Medium,Opening Batter,
Kashif Daud,U.A.E.,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Vriitya Aravind,U.A.E.,,Right hand Bat,,Wicketkeeper,
Zawar Farid,U.A.E.,,Right hand Bat,Right arm Medium,Bowler,
Basil Hameed,U.A.E.,,Right hand Bat,Right arm Offbreak,Middle order Batter,
