match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
England Vs New Zealand,New Zealand,Trent Boult,10,1,48,1,4.8,34,3,2,1,0,1
England Vs New Zealand,New Zealand,Matt Henry,10,1,48,3,4.8,31,6,0,0,0,1
England Vs New Zealand,New Zealand,Mitchell Santner,10,0,37,2,3.7,26,0,0,1,0,1
England Vs New Zealand,New Zealand,James Neesham,7,0,56,0,8,15,5,2,2,0,1
England Vs New Zealand,New Zealand,Rachin Ravindra,10,0,76,1,7.6,14,6,2,0,0,1
England Vs New Zealand,New Zealand,Glenn Phillips,3,0,17,2,5.66,5,1,0,0,0,1
England Vs New Zealand,England,Chris Woakes,6,0,45,0,7.5,18,7,1,0,0,1
England Vs New Zealand,England,Sam Curran,6,2,47,1,7.83,17,6,1,2,0,1
England Vs New Zealand,England,Mark Wood,5,0,55,0,11,9,7,2,1,0,1
England Vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0,1
England Vs New Zealand,England,Adil Rashid,7,0,47,0,6.71,15,4,1,0,0,1
England Vs New Zealand,England,Liam Livingstone,3,0,24,0,8,7,4,0,0,0,1
Pakistan Vs Netherlands,Netherlands,Aryan Dutt,10,0,48,1,4.8,37,7,0,2,0,2
Pakistan Vs Netherlands,Netherlands,Logan van Beek,6,0,30,1,5,20,4,0,1,0,2
Pakistan Vs Netherlands,Netherlands,Colin Ackermann,8,1,39,2,4.87,26,1,2,0,0,2
Pakistan Vs Netherlands,Netherlands,Paul van Meekeren,6,0,40,1,6.66,16,5,0,2,0,2
Pakistan Vs Netherlands,Netherlands,Bas de Leede,9,0,62,4,6.88,22,9,0,3,0,2
Pakistan Vs Netherlands,Netherlands,Roelof van der Merwe,6,0,36,0,6,14,2,1,0,1,2
Pakistan Vs Netherlands,Netherlands,Vikramjit Singh,2,0,16,0,8,5,3,0,0,0,2
Pakistan Vs Netherlands,Netherlands,Saqib Zulfiqar,2,0,15,0,7.5,3,2,0,0,0,2
Pakistan Vs Netherlands,Pakistan,Shaheen Shah Afridi,7,0,37,1,5.28,26,5,0,2,0,2
Pakistan Vs Netherlands,Pakistan,Hasan Ali,7,1,33,2,4.71,31,6,0,4,0,2
Pakistan Vs Netherlands,Pakistan,Haris Rauf,9,0,43,3,4.77,33,5,1,2,0,2
Pakistan Vs Netherlands,Pakistan,Iftikhar Ahmed,3,0,16,1,5.33,7,1,0,0,0,2
