batsman_name,team,image,batting_style,bowling_style,role,
Azmatullah Omarzai,Afghanistan,,Right hand bat,Right arm fast medium,Bowling Allrounder,
Fazalhaq Farooqi ,Afghanistan,,Right hand bat,Left arm fast medium,Bowler,
Hashmatullah Shahidi,Afghanistan,,Left hand bat,Right arm off break,Batter,
Ibrahim Zadran ,Afghanistan,,Right hand bat,Right arm fast medium,Batter,
Ikram Alikhil,Afghanistan,,Left hand bat,,Wicketkeeper Batter,
Mohammad Nabi,Afghanistan,,Right hand bat,Right arm off break,Bowling Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Mujeeb Ur Rahman,Afghanistan,,Right hand bat,Right arm off break,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. "
Najibullah Zadran ,Afghanistan,,Left hand bat,Right arm off break,Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
Naveen-ul-Haq,Afghanistan,,Right hand bat,Right arm fast medium,Bowler,
Noor Ahmad ,Afghanistan,,Right hand bat,Left arm unorthodox spin,Bowler,
Rahmanullah Gurbaz ,Afghanistan,,Right hand bat,Right arm fast medium,Wicketkeeper Batter,
Rahmat Shah ,Afghanistan,,Right hand bat,Right arm leg break,Batter,
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Right hand bat,Right arm leg break,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. "
Adam Zampa,Australia,,Right hand bat,Right arm leg break,Bowler,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
Alex Carey ,Australia,,Left hand bat,Right arm fast medium,Wicketkeeper Batter,
Cameron Green,Australia,,Right hand bat,Right arm fast medium,Batting Allrounder,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
David Warner ,Australia,,Left hand bat,Right arm leg break,Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
