match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,1,Devon Conway ,1,6,0,0,16.66,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,2,Ruturaj Gaikwad ,92,50,4,9,184,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,3,Moeen Ali ,23,17,4,1,135.29,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,4,Ben Stokes ,7,6,1,0,116.66,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,5,Ambati Rayudu ,12,12,0,1,100,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,6,Shivam Dube ,19,18,0,1,105.55,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,7,Ravindra Jadeja ,1,2,0,0,50,out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,8,MS Dhoni ,14,7,1,1,200,not_out,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,9,Mitchell Santner ,1,3,0,0,33.33,not_out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,1,Wriddhiman Saha ,25,16,2,2,156.25,out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,2,Shubman Gill ,63,36,6,3,175,out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,3,Sai Sudharsan ,22,17,3,0,129.41,out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,4,Hardik Pandya ,8,11,0,0,72.72,out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,5,Vijay Shankar ,27,21,2,1,128.57,out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,6,Rahul Tewatia ,15,14,1,1,107.14,not_out,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,7,Rashid Khan ,10,3,1,1,333.33,not_out,1
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,1,Prabhsimran Singh ,23,12,2,2,191.66,out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,2,Shikhar Dhawan ,40,29,6,0,137.93,out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,3,Bhanuka Rajapaksa ,50,32,5,2,156.25,out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,4,Jitesh Sharma ,21,11,1,2,190.9,out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,5,Sikandar Raza ,16,13,1,1,123.07,out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,6,Sam Curran ,26,17,0,2,152.94,not_out,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,7,M Shahrukh Khan ,11,7,2,0,157.14,not_out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,1,Mandeep Singh ,2,4,0,0,50,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,2,Rahmanullah Gurbaz ,22,16,3,1,137.5,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,3,Anukul Roy ,4,5,1,0,80,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,4,Venkatesh Iyer ,34,28,3,1,121.42,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,5,Nitish Rana ,24,17,3,1,141.17,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,6,Rinku Singh ,4,4,0,0,100,out,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,7,Andre Russell ,35,19,3,2,184.21,out,2
