match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Josh Little,4,0,41,1,10.25,10,4,3,0,0,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Rashid Khan,4,0,26,2,6.5,10,2,1,0,0,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0,1
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,Yash Dayal,1,0,14,0,14,2,0,2,0,0,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,Tushar Deshpande,3.2,0,51,1,15.3,5,4,4,1,1,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,Rajvardhan Hangargekar,4,0,36,3,9,10,4,1,3,1,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,Mitchell Santner,4,0,32,0,8,7,5,0,0,0,1
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,Ravindra Jadeja,4,0,28,1,7,9,1,1,0,0,1
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,Tim Southee,4,0,54,2,13.5,7,6,3,0,0,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,4,0,40,1,10,8,3,2,1,0,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,Varun Chakravarthy,4,0,26,1,6.5,10,2,1,1,0,2
Punjab Kings vs Kolkata Knight Riders,Kolkata Knight Riders,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Sam Curran,3,0,38,1,12.66,4,3,3,0,0,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Nathan Ellis,3,0,27,1,9,8,2,1,0,2,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Rishi Dhawan,1,0,15,0,15,2,2,1,0,0,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Rahul Chahar,2,0,12,1,6,5,0,1,0,0,2
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Harpreet Brar,1,0,7,0,7,3,1,0,0,0,2
Lucknow Super Giants vs Delhi Capitals,Delhi Capitals,Khaleel Ahmed,4,0,30,2,7.5,15,3,2,1,0,3
Lucknow Super Giants vs Delhi Capitals,Delhi Capitals,Mukesh Kumar,4,0,34,0,8.5,5,0,2,1,0,3
Lucknow Super Giants vs Delhi Capitals,Delhi Capitals,Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0,3
Lucknow Super Giants vs Delhi Capitals,Delhi Capitals,Axar Patel,4,0,38,1,9.5,8,1,3,0,0,3
Lucknow Super Giants vs Delhi Capitals,Delhi Capitals,Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Kyle Mayers,1,0,7,0,7,3,1,0,1,0,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Jaydev Unadkat,3,0,39,0,13,3,5,0,2,0,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Avesh Khan,4,0,29,2,7.25,12,3,1,0,0,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Mark Wood,4,0,14,5,3.5,17,1,0,1,1,3
Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0,3
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,3,0,36,0,12,6,4,2,1,0,4
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0,4
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,Washington Sundar,3,0,32,0,10.66,5,1,3,0,0,4
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,T Natarajan,3,0,23,2,7.66,7,4,0,0,0,4
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,Adil Rashid,4,0,33,0,8.25,6,1,2,0,0,4
Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,Umran Malik,3,0,32,1,10.66,4,4,1,1,0,4
