Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
Sri Lanka,won,2 wickets,0,won,2nd,v Australia,Geelong,2/19/2017
Australia,lost,2 wickets,0,lost,1st,v Sri Lanka,Geelong,2/19/2017
Namibia,won,55 runs,,lost,1st,v Sri Lanka,Geelong,10/16/2022
Sri Lanka,lost,55 runs,,won,2nd,v Namibia,Geelong,10/16/2022
Netherlands,won,3 wickets,1,lost,2nd,v U.A.E.,Geelong,10/16/2022
U.A.E.,lost,3 wickets,1,won,1st,v Netherlands,Geelong,10/16/2022
Netherlands,won,5 wickets,3,lost,2nd,v Namibia,Geelong,10/18/2022
Namibia,lost,5 wickets,3,won,1st,v Netherlands,Geelong,10/18/2022
Sri Lanka,won,79 runs,,lost,1st,v U.A.E.,Geelong,10/18/2022
U.A.E.,lost,79 runs,,won,2nd,v Sri Lanka,Geelong,10/18/2022
Sri Lanka,won,16 runs,,won,1st,v Netherlands,Geelong,10/20/2022
Netherlands,lost,16 runs,,lost,2nd,v Sri Lanka,Geelong,10/20/2022
U.A.E.,won,7 runs,,won,1st,v Namibia,Geelong,10/20/2022
Namibia,lost,7 runs,,lost,2nd,v U.A.E.,Geelong,10/20/2022
