timestamp,distance,heart_rate
2019-06-23 12:11:40,0.0,123
2019-06-23 12:11:40,551294055,-889826368,232.0,232.0,0.0,0.009,0.009
2019-06-23 12:11:41,551294046,-889826337,231.79999999999995,231.79999999999995,0.21,0.215,0.215
2019-06-23 12:11:42,551294039,-889826319,231.79999999999995,231.79999999999995,0.35,0.136,0.136
2019-06-23 12:11:43,551294030,-889826306,231.79999999999995,231.79999999999995,0.46,0.116,0.116
2019-06-23 12:11:44,551294002,-889826270,231.79999999999995,231.79999999999995,0.81,0.345,0.345
2019-06-23 12:11:45,551293904,-889826113,231.79999999999995,231.79999999999995,2.17,1.365,1.365
2019-06-23 12:11:46,551293764,-889825943,231.79999999999995,231.79999999999995,3.88,1.706,1.706
2019-06-23 12:11:47,551293553,-889825730,231.60000000000002,231.60000000000002,6.28,2.396,2.396
2019-06-23 12:11:48,551293308,-889825501,231.60000000000002,231.60000000000002,8.99,2.716,2.716,123
2019-06-23 12:11:49,551293001,-889825097,231.79999999999995,231.79999999999995,12.86,3.87,3.87,123
2019-06-23 12:11:50,551292534,-889824669,232.0,232.0,18.02,5.153,5.153,123
2019-06-23 12:11:51,551292060,-889824298,232.20000000000005,232.20000000000005,23.04,5.021,5.021,123
2019-06-23 12:11:52,551291559,-889824001,232.20000000000005,232.20000000000005,28.08,5.043,5.043,123
2019-06-23 12:11:53,551290945,-889823703,232.79999999999995,232.79999999999995,34.11,6.027,6.027,123
2019-06-23 12:11:54,551290352,-889823412,232.79999999999995,232.79999999999995,39.94,5.826,5.826,123
2019-06-23 12:11:55,551289596,-889822922,233.0,233.0,47.66,7.719,7.719,123
2019-06-23 12:11:56,551288834,-889822686,233.60000000000002,233.60000000000002,54.9,7.246,7.246,124
2019-06-23 12:11:57,551288077,-889822402,233.39999999999998,233.39999999999998,62.19,7.285,7.285,124
2019-06-23 12:11:58,551287335,-889822091,233.39999999999998,233.39999999999998,69.38,7.192,7.192,124
2019-06-23 12:11:59,551286582,-889821799,233.60000000000002,233.60000000000002,76.64,7.255,7.255,124
2019-06-23 12:12:00,551285806,-889821554,233.79999999999995,233.79999999999995,84.02,7.386,7.386,124
2019-06-23 12:12:01,551284985,-889821384,233.60000000000002,233.60000000000002,91.75,7.725,7.725,124
2019-06-23 12:12:02,551284155,-889821204,233.39999999999998,233.39999999999998,99.56,7.809,7.809,123
2019-06-23 12:12:03,551283290,-889821028,233.60000000000002,233.60000000000002,107.69,8.128,8.128,123
2019-06-23 12:12:04,551282372,-889820873,233.60000000000002,233.60000000000002,116.29,8.601,8.601,123
2019-06-23 12:12:05,551281460,-889820766,233.20000000000005,233.20000000000005,124.8,8.512,8.512,123
2019-06-23 12:12:06,551280635,-889820664,232.79999999999995,232.79999999999995,132.51,7.706,7.706,122
2019-06-23 12:12:07,551279678,-889820530,232.39999999999998,232.39999999999998,141.45,8.949,8.949,122
2019-06-23 12:12:08,551278727,-889820484,233.79999999999995,233.79999999999995,150.3,8.848,8.848,122
2019-06-23 12:12:09,551277692,-889820543,234.0,234.0,159.95,9.644,9.644,122
2019-06-23 12:12:10,551276730,-889820696,233.39999999999998,233.39999999999998,168.95,9.002,9.002,122
2019-06-23 12:12:11,551275631,-889820764,233.60000000000002,233.60000000000002,179.19,10.243,10.243,123
2019-06-23 12:12:12,551274552,-889820912,232.79999999999995,232.79999999999995,189.28,10.084,10.084,123
2019-06-23 12:12:13,551273522,-889821179,232.79999999999995,232.79999999999995,199.01,9.735,9.735,123
2019-06-23 12:12:14,551272462,-889821478,232.60000000000002,232.60000000000002,209.07,10.053,10.053,123
2019-06-23 12:12:15,551271411,-889821844,232.20000000000005,232.20000000000005,219.13,10.06,10.06,122
2019-06-23 12:12:16,551270377,-889822368,231.20000000000005,231.20000000000005,229.33,10.201,10.201,122
2019-06-23 12:12:17,551269416,-889822904,231.0,231.0,238.92,9.594,9.594,122
2019-06-23 12:12:18,551268456,-889823470,231.0,231.0,248.57,9.648,9.648,121
2019-06-23 12:12:19,551267611,-889824168,231.20000000000005,231.20000000000005,257.64,9.065,9.065,121
2019-06-23 12:12:20,551266844,-889825009,231.20000000000005,231.20000000000005,266.61,8.971,8.971,120
2019-06-23 12:12:21,551266028,-889825933,231.39999999999998,231.39999999999998,276.27,9.662,9.662,120
2019-06-23 12:12:22,551265281,-889826876,231.20000000000005,231.20000000000005,285.51,9.242,9.242,119
2019-06-23 12:12:23,551264544,-889827833,231.20000000000005,231.20000000000005,294.75,9.236,9.236,119
2019-06-23 12:12:24,551263865,-889828816,231.20000000000005,231.20000000000005,303.7,8.954,8.954,119
2019-06-23 12:12:25,551263274,-889829874,231.0,231.0,312.48,8.776,8.776,119
2019-06-23 12:12:26,551262702,-889830972,231.0,231.0,321.35,8.867,8.867,119
2019-06-23 12:12:27,551262126,-889832055,230.60000000000002,230.60000000000002,330.16,8.812,8.812,119
2019-06-23 12:12:28,551261591,-889833114,230.39999999999998,230.39999999999998,338.62,8.46,8.46,118
2019-06-23 12:12:29,551261068,-889834207,230.20000000000005,230.20000000000005,347.2,8.573,8.573,118
2019-06-23 12:12:30,551260534,-889835240,230.0,230.0,355.52,8.323,8.323,118
2019-06-23 12:12:31,551259968,-889836308,230.0,230.0,364.2,8.676,8.676,118
2019-06-23 12:12:32,551259427,-889837345,229.79999999999995,229.79999999999995,372.58,8.381,8.381,118
2019-06-23 12:12:33,551258874,-889838321,229.79999999999995,229.79999999999995,380.72,8.144,8.144,117
2019-06-23 12:12:34,551258333,-889839314,229.39999999999998,229.39999999999998,388.87,8.152,8.152,117
2019-06-23 12:12:35,551257839,-889840266,229.39999999999998,229.39999999999998,396.55,7.678,7.678,117
2019-06-23 12:12:36,551257314,-889841203,229.39999999999998,229.39999999999998,404.33,7.782,7.782,117
2019-06-23 12:12:37,551256797,-889842146,229.20000000000005,229.20000000000005,412.1,7.764,7.764,116
2019-06-23 12:12:38,551256302,-889843132,229.20000000000005,229.20000000000005,419.96,7.862,7.862,116
2019-06-23 12:12:39,551255855,-889844216,229.39999999999998,229.39999999999998,428.11,8.144,8.144,116
2019-06-23 12:12:40,551255517,-889845381,229.20000000000005,229.20000000000005,436.26,8.153,8.153,116
2019-06-23 12:12:41,551255368,-889846789,228.79999999999995,228.79999999999995,445.47,9.205,9.205,116
2019-06-23 12:12:42,551255681,-889848307,229.0,229.0,455.7,10.229,10.229,116
2019-06-23 12:12:43,551256170,-889849691,229.79999999999995,229.79999999999995,465.73,10.031,10.031,116
2019-06-23 12:12:44,551256707,-889851046,230.39999999999998,230.39999999999998,475.81,10.083,10.083,116
2019-06-23 12:12:45,551257315,-889852359,229.79999999999995,229.79999999999995,486.0,10.193,10.193,116
2019-06-23 12:12:46,551257935,-889853547,228.60000000000002,228.60000000000002,495.61,9.602,9.602,117
2019-06-23 12:12:47,551258590,-889854757,229.0,229.0,505.52,9.912,9.912,118
2019-06-23 12:12:48,551259249,-889855924,229.39999999999998,229.39999999999998,515.24,9.72,9.72,119
2019-06-23 12:12:49,551259951,-889857133,230.20000000000005,230.20000000000005,525.42,10.18,10.18,120
2019-06-23 12:12:50,551260585,-889858250,230.20000000000005,230.20000000000005,534.74,9.323,9.323,121
2019-06-23 12:12:51,551261190,-889859462,230.20000000000005,230.20000000000005,544.39,9.641,9.641,121
2019-06-23 12:12:52,551261797,-889860621,230.79999999999995,230.79999999999995,553.77,9.382,9.382,122
2019-06-23 12:12:53,551262418,-889861764,230.79999999999995,230.79999999999995,563.15,9.379,9.379,123
2019-06-23 12:12:54,551263007,-889862956,231.0,231.0,572.6,9.452,9.452,123
2019-06-23 12:12:55,551263576,-889863987,231.0,231.0,581.1,8.505,8.505,123
2019-06-23 12:12:56,551264083,-889865162,231.79999999999995,231.79999999999995,590.04,8.935,8.935,123
2019-06-23 12:12:57,551264600,-889866444,232.0,232.0,599.62,9.581,9.581,123
2019-06-23 12:12:58,551265087,-889867657,232.20000000000005,232.20000000000005,608.68,9.057,9.057,123
2019-06-23 12:12:59,551265619,-889868882,232.0,232.0,618.01,9.329,9.329,123
