Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Average Watts,Calories,Average Temperature,Relative Effort.1,Total Work,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,From Upload,Grade Adjusted Distance,Bike,Gear,Flagged,Average Elapsed Speed,Dirt Distance,Total Steps
2929442069,"13 Dec 2019, 01:46:07",Lunch Ride,Ride,3859,22.97,139.0,11.0,False,,activities/3117764808.fit.gz,84.0,,3859.0,3811.0,22970.80078125,10.199999809265137,5.988999843597412,126.0,120.0,12.0,40.0,16.399999618530273,0.0217667650431394,94.0,58.99114608764648,139.0,108.0,105.85943603515624,141.0,20.0,11.0,351656.0,,127.0,3860.0,,,0.0,1.0,,,,,,,
2945780637,"20 Dec 2019, 23:05:01",Morning Ride,Ride,4852,29.65,133.0,12.0,False,,activities/3136634767.fit.gz,84.0,,4852.0,4693.0,29658.5,14.100000381469728,6.3429999351501465,89.0,95.0,24.0,44.0,15.399999618530272,-0.0101151438429951,83.0,59.96870422363281,133.0,103.0,112.48800659179688,148.0,20.0,12.0,461703.0,,122.0,4853.0,,,0.0,1.0,,,,,,,
2948028275,"21 Dec 2019, 23:25:29",Morning Ride,Ride,5817,32.38,139.0,19.0,False,,activities/3139195577.fit.gz,84.0,,5817.0,5601.0,32382.80078125,12.0,5.800000190734863,186.0,177.0,-25.0,45.0,15.600000381469728,0.0185283552855253,90.0,58.758060455322266,139.0,113.0,104.46622467041016,253.0,20.0,19.0,479712.0,,117.0,5795.0,,,0.0,1.0,,,,,,,
2952462113,"24 Dec 2019, 01:19:17",Lunch Ride,Ride,3851,21.68,140.0,11.0,False,,activities/3144285271.fit.gz,84.0,,3851.0,3816.0,21686.0,11.399999618530272,5.697000026702881,244.0,242.0,51.0,100.0,18.899999618530277,0.0138338096439838,95.0,59.98857116699219,140.0,107.0,110.31062316894533,217.0,24.0,11.0,360425.0,,143.0,3852.0,,,0.0,1.0,,,,,,,
2956494096,"26 Dec 2019, 00:09:08",Lunch Ride,Ride,5843,32.36,131.0,14.0,False,,activities/3148981215.fit.gz,80.0,,5843.0,5740.0,32365.5,10.899999618530272,5.6570000648498535,195.0,174.0,-125.0,-47.0,43.5,0.0648839026689529,85.0,57.6036491394043,131.0,99.0,95.28904724121094,178.0,22.0,14.0,469856.0,,110.0,5837.0,,,0.0,1.0,,,,,,,
2961293151,"27 Dec 2019, 23:38:08",Morning Ride,Ride,6953,32.84,139.0,15.0,False,,activities/3154484363.fit.gz,80.0,,6953.0,5381.0,32848.3984375,12.800000190734863,6.111000061035156,233.0,188.0,-4.0,63.0,33.29999923706055,0.1461258381605148,107.0,64.3773422241211,139.0,105.0,102.74663543701172,241.0,28.0,15.0,460049.0,,125.0,5852.0,,,0.0,1.0,,,,,,,
2969244332,"31 Dec 2019, 01:48:12",Lunch Ride,Ride,5567,34.98,147.0,25.0,False,,activities/3163594852.fit.gz,80.0,,5567.0,5468.0,34987.8984375,12.800000190734863,6.412000179290772,274.0,283.0,10.0,66.0,21.5,-0.0080027664080262,103.0,69.64530944824219,147.0,121.0,130.21347045898438,535.0,24.0,25.0,593798.0,,150.0,5568.0,,,0.0,1.0,,,,,,,
2974544942,"2 Jan 2020, 03:43:00",Afternoon Ride,Ride,3727,25.22,142.0,14.0,False,,activities/3169611218.fit.gz,80.0,,3727.0,3712.0,25221.599609375,13.199999809265137,6.8460001945495605,140.0,177.0,2.0,54.0,17.5,-0.1625590771436691,99.0,71.95833587646484,142.0,117.0,142.30084228515625,319.0,27.0,14.0,439224.0,,161.0,3728.0,,,0.0,1.0,,,,,,,
2979711652,"3 Jan 2020, 23:27:55",Morning Ride,Ride,7352,45.79,140.0,25.0,False,,activities/3175444403.fit.gz,80.0,,7352.0,7336.0,45790.80078125,13.0,6.251999855041504,451.0,453.0,28.0,82.0,19.600000381469727,0.0021838448010385,105.0,67.07344055175781,140.0,112.0,123.71697998046876,460.0,28.0,25.0,756496.0,,144.0,7353.0,,,0.0,1.0,,,,,,,
2982905280,"5 Jan 2020, 01:30:44",Lunch Ride,Ride,5913,34.01,136.0,15.0,False,,activities/3179045206.fit.gz,80.0,,5913.0,5843.0,34017.6015625,16.200000762939453,5.817999839782715,185.0,190.0,-28.0,58.0,17.399999618530273,-0.0117586189880967,99.0,67.99066925048828,136.0,101.0,108.20263671875,218.0,12.0,15.0,519548.0,,120.0,5914.0,,,0.0,1.0,,,,,,,
2988847700,"6 Jan 2020, 23:16:34",Morning Ride,Ride,7623,47.69,144.0,28.0,False,,activities/3185737014.fit.gz,80.0,,7623.0,7623.0,47695.6015625,13.300000190734863,6.283999919891357,466.0,453.0,69.0,124.0,19.0,0.0335460714995861,103.0,68.61556243896484,144.0,114.0,122.37669372558594,544.0,17.0,28.0,767761.0,,143.0,7624.0,,,0.0,1.0,,,,,,,
3020535027,"18 Jan 2020, 01:09:07",Lunch Ride,Ride,9744,63.36,137.0,27.0,False,,activities/3221319414.fit.gz,80.0,,9744.0,8970.0,63359.19921875,12.5,7.105000019073486,185.0,157.0,6.0,41.0,10.399999618530272,0.0378792658448219,94.0,74.15400695800781,137.0,110.0,121.67343139648438,347.0,29.0,27.0,874687.0,,131.0,9739.0,,,0.0,1.0,,,,,,,
3023493805,"18 Jan 2020, 23:26:33",Morning Ride,Ride,5665,37.37,125.0,17.0,False,,activities/3224625345.fit.gz,80.0,,5665.0,5332.0,37373.5,9.399999618530272,7.02899980545044,3.0,0.0,59.0,65.0,6.099999904632568,0.0107027711346745,88.0,69.17185974121094,125.0,111.0,123.1571273803711,163.0,23.0,17.0,555592.0,,126.0,5666.0,,,0.0,1.0,,,,,,,
3029420191,"20 Jan 2020, 23:14:56",Morning Ride,Ride,5664,37.35,151.0,13.0,False,,activities/3231240844.fit.gz,80.0,,5664.0,5419.0,37358.69921875,9.5,6.849999904632568,3.0,0.0,-9.0,-1.0,9.899999618530272,0.0133837629109621,85.0,68.0452880859375,151.0,99.0,119.53500366210938,165.0,18.0,13.0,555761.0,,127.0,5665.0,,,0.0,1.0,,,,,,,
