Activity Date,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Athlete Weight,Bike Weight,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Average Watts,Calories,Average Temperature,Total Work,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Grade Adjusted Distance,Average Elapsed Speed,60 Day Maximum Power 5s,60 Day Maximum Power 10s,60 Day Maximum Power 30s,60 Day Maximum Power 1.0min,60 Day Maximum Power 5.0min,60 Day Maximum Power 10.0min,60 Day Maximum Power 20.0min,60 Day Maximum Power 30.0min,60 Day Maximum Power 1.0 hr,60 Day Maximum Power 1.5 hr,60 Day Maximum Power 2.0 hr,FTP
2019-12-13 01:46:07,3859,22.97,139.0,11.0,84.0,,3811.0,10.1999998092651,5.98899984359741,126.0,120.0,12.0,40.0,16.3999996185303,0.0217667650431394,94.0,58.9911460876465,108.0,105.859436035156,141.0,20.0,351656.0,,127.0,3860.0,,,,,439.2,412.9,342.1,221.2,162.2,136.3,120.8,109.8,105.4,0.0,0.0,222.5
2019-12-20 23:05:01,4852,29.65,133.0,12.0,84.0,,4693.0,14.1000003814697,6.34299993515015,89.0,95.0,24.0,44.0,15.3999996185303,-0.0101151438429951,83.0,59.9687042236328,103.0,112.488006591797,148.0,20.0,461703.0,,122.0,4853.0,,,,,439.2,412.9,342.1,221.2,162.2,136.3,122.1,120.3,115.6,0.0,0.0,222.6
2019-12-21 23:25:29,5817,32.38,139.0,19.0,84.0,,5601.0,12.0,5.80000019073486,186.0,177.0,-25.0,45.0,15.6000003814697,0.0185283552855253,90.0,58.7580604553223,113.0,104.46622467041,253.0,20.0,479712.0,,117.0,5795.0,,,,,439.2,412.9,342.1,221.2,162.2,136.3,127.5,125.5,115.6,104.7,0.0,222.6
2019-12-24 01:19:17,3851,21.68,140.0,11.0,84.0,,3816.0,11.3999996185303,5.69700002670288,244.0,242.0,51.0,100.0,18.8999996185303,0.0138338096439838,95.0,59.9885711669922,107.0,110.310623168945,217.0,24.0,360425.0,,143.0,3852.0,,,,,473.0,452.0,342.1,262.0,162.2,146.7,139.7,134.0,115.6,104.7,0.0,222.6
2019-12-26 00:09:08,5843,32.36,131.0,14.0,80.0,,5740.0,10.8999996185303,5.65700006484985,195.0,174.0,-125.0,-47.0,43.5,0.0648839026689529,85.0,57.6036491394043,99.0,95.2890472412109,178.0,22.0,469856.0,,110.0,5837.0,,,,,473.0,452.0,342.1,262.0,162.2,146.7,139.7,134.0,115.6,104.7,0.0,222.7
2019-12-27 23:38:08,6953,32.84,139.0,15.0,80.0,,5381.0,12.8000001907349,6.11100006103516,233.0,188.0,-4.0,63.0,33.2999992370606,0.146125838160515,107.0,64.3773422241211,105.0,102.746635437012,241.0,28.0,460049.0,,125.0,5852.0,,,,,473.0,452.0,342.1,262.0,170.2,146.7,139.7,134.0,115.6,104.7,0.0,222.7
2019-12-31 01:48:12,5567,34.98,147.0,25.0,80.0,,5468.0,12.8000001907349,6.41200017929077,274.0,283.0,10.0,66.0,21.5,-0.0080027664080262,103.0,69.6453094482422,121.0,130.213470458984,535.0,24.0,593798.0,,150.0,5568.0,,,,,487.8,452.0,342.1,278.3,172.1,163.9,156.5,148.3,134.7,130.4,0.0,222.7
2020-01-02 03:43:00,3727,25.22,142.0,14.0,80.0,,3712.0,13.1999998092651,6.84600019454956,140.0,177.0,2.0,54.0,17.5,-0.162559077143669,99.0,71.9583358764648,117.0,142.300842285156,319.0,27.0,439224.0,,161.0,3728.0,,,,,514.4,452.0,342.1,278.3,185.0,175.4,166.4,153.6,143.4,130.4,0.0,222.7
2020-01-03 23:27:55,7352,45.79,140.0,25.0,80.0,,7336.0,13.0,6.2519998550415,451.0,453.0,28.0,82.0,19.6000003814697,0.0021838448010385,105.0,67.0734405517578,112.0,123.716979980469,460.0,28.0,756496.0,,144.0,7353.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,130.4,124.6,222.8
2020-01-05 01:30:44,5913,34.01,136.0,15.0,80.0,,5843.0,16.2000007629395,5.81799983978272,185.0,190.0,-28.0,58.0,17.3999996185303,-0.0117586189880967,99.0,67.9906692504883,101.0,108.20263671875,218.0,12.0,519548.0,,120.0,5914.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,130.4,124.6,222.8
2020-01-06 23:16:34,7623,47.69,144.0,28.0,80.0,,7623.0,13.3000001907349,6.28399991989136,466.0,453.0,69.0,124.0,19.0,0.0335460714995861,103.0,68.6155624389648,114.0,122.376693725586,544.0,17.0,767761.0,,143.0,7624.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,130.4,124.6,222.8
2020-01-18 01:09:07,9744,63.36,137.0,27.0,80.0,,8970.0,12.5,7.10500001907349,185.0,157.0,6.0,41.0,10.3999996185303,0.0378792658448219,94.0,74.1540069580078,110.0,121.673431396484,347.0,29.0,874687.0,,131.0,9739.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,136.1,130.1,223.0
2020-01-18 23:26:33,5665,37.37,125.0,17.0,80.0,,5332.0,9.39999961853027,7.02899980545044,3.0,0.0,59.0,65.0,6.09999990463257,0.0107027711346745,88.0,69.1718597412109,111.0,123.157127380371,163.0,23.0,555592.0,,126.0,5666.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,136.1,130.1,223.0
2020-01-20 23:14:56,5664,37.35,151.0,13.0,80.0,,5419.0,9.5,6.84999990463257,3.0,0.0,-9.0,-1.0,9.89999961853027,0.0133837629109621,85.0,68.0452880859375,99.0,119.535003662109,165.0,18.0,555761.0,,127.0,5665.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,136.1,130.1,223.0
2020-01-21 20:59:59,2669,19.44,141.0,11.0,80.0,,2635.0,11.3000001907349,7.45599985122681,51.0,20.0,7.0,43.0,12.0,0.174823373556137,94.0,77.5830917358398,121.0,134.996932983398,254.0,20.0,286802.0,,148.0,2670.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,143.4,136.1,130.1,223.0
2020-01-24 00:14:17,5543,37.34,125.0,14.0,80.0,,5381.0,8.89999961853027,6.92999982833862,,0.0,26.0,31.0,10.0,-0.0053558996878564,89.0,73.1250686645508,104.0,132.802093505859,162.0,20.0,593960.0,,142.0,5544.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,145.2,136.1,130.1,223.0
2020-01-25 02:49:30,7690,50.89,143.0,31.0,80.0,,7340.0,12.0,6.95800018310547,143.0,133.0,0.0,28.0,9.80000019073486,0.0078591639176011,95.0,75.0333023071289,121.0,122.186752319336,631.0,27.0,727087.0,,132.0,7691.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,145.2,136.1,130.1,223.0
2020-01-27 00:59:24,5635,37.79,122.0,14.0,80.0,,5486.0,10.0,6.89200019836426,6.0,0.0,3.0,13.8000001907349,10.0,0.0238115396350622,86.0,67.8686981201172,101.0,121.915756225586,164.0,24.0,578866.0,,128.0,5636.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,145.2,136.1,130.1,223.1
2020-01-29 01:33:10,7903,50.12,134.0,22.0,80.0,,7333.0,12.0,6.83199977874756,46.0,31.0,-75.0,-57.0,11.5,0.0199518762528896,88.0,68.9260864257813,110.0,126.237693786621,280.0,27.0,776760.0,,135.0,7904.0,,,,,514.4,452.0,342.1,278.7,185.0,175.4,166.4,153.6,145.2,138.4,130.1,223.1
2020-02-01 21:42:49,2097,20.21,160.0,60.0,80.0,8.0,2097.0,12.1000003814697,9.63799953460693,16.0,21.0,0.0,9.0,24.3999996185303,-0.0148391434922814,92.0,82.3483123779297,155.0,228.07926940918,577.0,14.0,403349.0,9.0,231.0,2098.0,0.0,104.0,,,514.4,452.0,342.1,292.9,244.6,238.9,233.6,232.9,145.2,138.4,130.1,223.1
2020-02-04 03:50:34,7986,47.71,144.0,29.0,80.0,8.0,7199.0,12.1000003814697,6.6479997634887695,98.0,80.0,-14.0,12.0,18.2000007629395,0.0356297008693218,94.0,73.091796875,121.0,123.109878540039,587.0,20.0,724249.0,,130.0,7987.0,,,,,514.4,452.0,342.1,292.9,244.6,238.9,233.6,232.9,145.2,138.4,130.1,223.2
2020-02-07 00:22:14,7998,51.69,140.0,24.0,80.0,8.0,7414.0,11.5,6.99900007247925,176.0,173.0,55.0,83.0,12.3000001907349,0.0077375876717269,98.0,75.4838638305664,113.0,126.360954284668,342.0,25.0,746630.0,,137.0,7970.0,,,,,514.4,452.0,342.1,292.9,244.6,238.9,233.6,232.9,145.2,138.6,130.1,223.2
2020-02-09 00:37:01,5705,38.41,139.0,20.0,80.0,8.0,5428.0,10.3999996185303,7.09499979019165,23.0,13.0,-23.0,-6.0,11.8000001907349,0.0338405966758728,94.0,73.3524322509766,118.0,120.302825927734,340.0,28.0,540973.0,,126.0,5706.0,,,,,514.4,452.0,342.1,292.9,244.6,238.9,233.6,232.9,145.2,138.6,130.1,223.2
