timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,ascent,grade,calories,enhanced_speed,speed,heart_rate,temperature,cadence,power,left_right_balance,gps_accuracy,descriptor,product_name,serial_number,sessionID
2020-09-19 23:56:25+00:00,-38.02469543,145.3546552,14.08435,113.4,113.4,322,4.31,488,17.5824,17.5824,171,18,89,,,6,,,,
2020-09-24 01:57:12+00:00,-38.02920456,145.3804648,30.71738,61,61,629,-3.58,1031,34.2288,34.2288,137,12,82,,,6,,,,
2020-10-17 04:45:22+00:00,-38.02391457,145.3458308,43.05268,87,87,879,-3.18,1370,37.9368,37.9368,148,17,65,,,6,,,,
2020-10-17 04:45:23+00:00,-38.02398859,145.345904,43.06295,86.6,86.6,879,-3.12,1370,37.656,37.656,148,17,43,,,6,,,,
2020-10-17 22:34:52+00:00,-38.03216203,145.3551936,21.28824,101,101,330,2.22,608,13.7088,13.7088,152,11,92,,,6,,,,
2020-11-13 22:21:31+00:00,-38.05935703,145.4688142,49.12163,58.6,58.6,535,0,1190,35.748,35.748,141,13,103,,,6,,,,
2020-11-13 22:21:32+00:00,-38.05937489,145.4688936,49.1302,58.6,58.6,535,0,1190,36.0864,36.0864,141,13,98,,,6,,,,
2020-11-27 23:19:02+00:00,-38.02349548,145.3458557,69.70844,97.4,97.4,641,7.7,680,13.4316,13.4316,99,19,80,,,6,,,,
2020-12-04 23:14:25+00:00,-38.05436276,145.3726761,64.00046,74.6,74.6,551,0,180,31.1688,31.1688,97,24,96,,,6,,,,
2020-12-08 19:21:35+00:00,-38.00615617,145.3651946,26.53516,134.2,134.2,374,2.2,25,16.1208,16.1208,54,10,81,,,6,,,,
2020-12-22 23:58:15+00:00,-38.04417799,145.4641315,18.17465,59.6,59.6,216,0,,27.108,27.108,,13,1,,,7,,,,
2021-01-08 20:13:19+00:00,-38.02465109,145.345028,0.22471,126.4,126.4,0,0,0,43.2036,43.2036,,18,0,,,7,,,,
2021-01-08 20:13:20+00:00,-38.02459342,145.3451275,0.23619,125.8,125.8,0,0,0,44.0064,44.0064,,18,0,,,6,,,,
2021-01-08 23:11:31+00:00,-38.04242274,145.3645649,66.09154,77.2,77.2,541,0,461,27.1152,27.1152,,29,64,,,6,,,,
2021-01-11 19:42:06+00:00,-38.02545357,145.3436071,0.09271,,,,,,27.36,27.36,,20,0,,,6,,,,
2021-01-11 19:42:09+00:00,-38.02524981,145.3438269,0.11756,,,,,,32.2992,32.2992,,20,0,,,8,,,,
2021-01-11 19:42:10+00:00,-38.02518192,145.3439002,0.12854,,,,,,32.2596,32.2596,,20,0,,,9,,,,
2021-01-18 20:54:09+00:00,-38.00388367,145.4105558,21.52067,226.8,226.8,452,5.48,,15.0552,15.0552,,10,79,,,6,,,,
2021-01-22 19:56:07+00:00,-37.99840769,145.3191346,23.19654,63.4,63.4,381,2.76,,26.7444,26.7444,,13,95,,,6,,,,
