DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
2,5,23,28,Healthy,-0.028421625731006674
2,5,23,28,Healthy,0.08189893686955331
2,5,23,28,Healthy,1.1562001687799273
2,5,23,28,Healthy,0.2580800273441527
2,5,23,28,Healthy,0.3832401761216811
2,5,23,28,Healthy,0.4479296668462763
2,5,23,28,Healthy,0.476000687028139
2,5,23,28,Healthy,0.494005203783325
2,5,23,28,Healthy,0.6521856747976605
2,5,23,28,Healthy,0.5292594278062082
2,5,23,28,Healthy,1.7473851821754676
2,5,23,28,Healthy,0.7243545063315826
2,5,23,28,Healthy,0.7660550672368811
2,5,23,28,Healthy,0.8037320039096547
2,5,23,28,Healthy,0.8788489333813306
2,5,23,28,Healthy,0.9204991822343664
2,5,23,28,Healthy,0.967835702053029
2,5,23,28,Healthy,1.0333602700244278
2,5,23,28,Healthy,1.957129531499331
2,5,23,28,Healthy,0.8981765035971279
2,5,23,28,Healthy,0.9967235845824416
2,5,23,28,Healthy,1.0111765174404008
2,5,23,28,Healthy,0.9440534052824396
2,5,23,28,Healthy,0.9392632447603384
2,5,23,28,Healthy,1.0541426433241625
2,5,23,28,Healthy,0.8691912218260933
2,5,23,28,Healthy,1.975397231189191
2,5,23,28,Healthy,0.8123521884349253
2,5,23,28,Healthy,0.7667720183663643
2,5,23,28,Healthy,0.8492545464659428
2,5,23,28,Healthy,0.800638250651585
2,5,23,28,Healthy,0.6300572491712603
2,5,23,28,Healthy,0.6262755750222851
2,5,23,28,Healthy,0.4799620322780995
2,5,23,28,Healthy,1.42231853885273
2,5,23,28,Healthy,0.3715889701414841
2,5,23,28,Healthy,0.2534417471310525
2,5,23,28,Healthy,0.2763627932440614
2,5,23,28,Healthy,0.11957386743864801
2,5,23,28,Healthy,0.03781338695740771
2,5,23,28,Healthy,0.11288410514808446
2,5,23,28,Healthy,-0.025296898936135168
2,5,23,28,Healthy,0.7908614047932698
2,5,23,28,Healthy,-0.24522478732301792
2,5,23,28,Healthy,-0.33645828049304916
2,5,23,28,Healthy,-0.40703474207814816
2,5,23,28,Healthy,-0.4272357698611247
2,5,23,28,Healthy,-0.5124443854218683
2,5,23,28,Healthy,-0.5977352328749407
2,5,23,28,Healthy,-0.6088654535111248
2,5,23,28,Healthy,0.29475498842153813
2,5,23,28,Healthy,-0.7102899920495922
2,5,23,28,Healthy,-0.7685049453749835
2,5,23,28,Healthy,-0.8008349464506027
2,5,23,28,Healthy,-0.8442103834092304
2,5,23,28,Healthy,-0.9561890640419778
2,5,23,28,Healthy,-0.9466797946961445
2,5,23,28,Healthy,-0.9837077039477968
2,5,23,28,Healthy,-0.038483376803263775
2,5,23,28,Healthy,-1.0149629691976896
