event_id,lat_median,long_median,timezone,heart_rate_median,heart_rate_50w,heart_rate_10,heart_rate_25,heart_rate_75,heart_rate_90,heart_rate_10w,heart_rate_25w,heart_rate_75w,heart_rate_90w,heart_rate_sdw,heart_rate_min,heart_rate_max,cadence_median,heart_rate_mean,heart_rate_mean_na,temperature_median,temperature_median_v2,temperature_mean_na,median_cadence,cadence_mean,cadence_10,cadence_25,cadence_75,cadence_90,cadence_10w,cadence_25w,cadence_75w,cadence_90w,altitude_min,altitude_amean,altitude_max,altitude_ascended,altitude_descended,total_distance,speed_average,speed_median,speed_10,speed_25,speed_75,speed_90,speed_50w,speed_10w,speed_25w,speed_75w,speed_90w,speed_max,speed_sd,speed_sdw,timestamp_start_run,timestamp_end_run,datetime_ts,heart_rate_speed_cor,heart_rate_speed_cor_2,heart_rate_temp_cor,heart_rate_temp_cor_2,speed_distance_cor,speed_distance_cor_spearman,speed_cadence_cor,heart_rate_cadence_cor,sub_sport,direction_n_avg,direction_ne_avg,direction_e_avg,direction_se_avg,direction_s_avg,direction_sw_avg,direction_w_avg,direction_nw_avg,mean_rotation_velocity,mean_abs_rotation_velocity,total_angle_delta,total_abs_angle_delta,griddiness,griddiness_v2,griddiness_v3,orientation_center,orientation_sd,n_laps,rest_time_total,n_rests,rest_time_average,rest_time_min,rest_time_max,rest_time_median,rest_time_sd,n_laps_over_15,lap_trigger_distance,lap_trigger_session_end,lap_trigger_manual,lap_trigger_other,strides_total,lap_speed_sd,n_laps_00_to_05,n_laps_05_to_06,n_laps_06_to_07,n_laps_07_to_08,n_laps_08_to_09,n_laps_09_to_10,n_laps_10_to_11,n_laps_11_to_12,n_laps_12_to_13,n_laps_13_to_14,n_laps_14_to_15,n_laps_15_to_16,n_laps_16_to_17,n_laps_17_to_18,n_laps_18_to_19,n_laps_19_to_20,n_laps_20_to_22,n_laps_22_to_25,n_laps_25_plus,start_to_stop_time_mean,start_to_stop_time_median,start_to_stop_time_min,start_to_stop_time_max,timestamp_start,timestamp_stop,total_time_elapsed,speed_proportion__0_5,speed_proportion__5_6,speed_proportion__6_7,speed_proportion__7_8,speed_proportion__8_9,speed_proportion__9_10,speed_proportion__10_11,speed_proportion__11_12,speed_proportion__12_13,speed_proportion__13_14,speed_proportion__14_15,speed_proportion__15_16,speed_proportion__16_17,speed_proportion__17_18,speed_proportion__18_19,speed_proportion__19_20,speed_proportion__20_22,speed_proportion__22_25,speed_proportion__25,total_time_spent_running,proportion_time_spent_running,proportion_rest_time
1,41.96602748706937,-87.64693901874125,America/Chicago,151,150.3524732270001,137,144,153,155,137.32081032515313,143.40168034189963,152.14338294088978,154.26825116880156,12.078368564606212,69,159,81,145.8283464566929,0,,,1,81,80.36338582677165,80,80,81,82,79.57471101875537,79.77614309883094,80.91670547725887,81.91182226351927,160.79999999999995,178.67181102362204,206,14.38279592256933,14.030770311247096,4.83519,13.563011338582678,13.487400000000001,12.898800000000001,13.100399999999999,14.3424,14.7816,13.55022148541114,12.889603288226148,13.138221299695383,14.341677340981573,14.814605143064984,15.483600000000001,1.5745578238736837,0.8847988549048121,1506028652,1506029970,2017-09-21_21-17-32,0.49540302119410623,0.22545142820341532,,,0.04718649411518023,-0.2406636606025931,0.643039077294676,0.35239129247642237,generic,0.14782608695652175,0.05612648221343874,0.5786561264822134,0,0,0,0.10355731225296443,0.11383399209486166,0.09310883870479261,6.603285971573257,118.24822515508663,8386.173183898036,0.3721796165989353,0.6574803149606299,0.38288235995083025,120.68019980455904,64.28852737044556,0,0,0,,,,,,3,3,1,0,0,1702,0.7172256548674207,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,634,634,153,1115,1506028652,1506029970,1318,0.011023622047244094,7.874015748031496e-4,0,7.874015748031496e-4,0,0.0015748031496062992,0.006299212598425197,0.004724409448818898,0.15826771653543306,0.4401574803149606,0.30787401574803147,0.06850393700787402,0,0,0,0,0,0,0,1318,1,0
2,41.97517616674304,-87.65025649219751,America/Chicago,158,157.63189233979557,144,152,161,162,143.37148032811788,151.59326622253303,160.14591443157718,161.92306948137232,7.194344952977674,64,168,81,155.4421310471525,0,,,1,81,81.14421310471525,80,81,82,82.5,60.56355098257751,80.61866522861153,81.84531653177292,82.28405793676663,169.60000000000002,192.04960195958358,228.79999999999995,14.167548487633326,33.02215897814693,5.98351,13.040247152480099,13.132800000000001,12.427200000000001,12.9312,13.435200000000002,13.7736,13.143549215455709,12.462469355601073,12.929127727266556,13.4500413866248,13.777553792698827,14.9472,1.1768344826024981,0.7344740403611358,1506101367,1506103010,2017-09-22_17-29-27,0.30576902921147575,-0.410956173180176,,,0.19604948705434636,0.09556845801972441,0.5949461255854109,0.5211005962871471,generic,0.23157248157248156,0.02334152334152334,0.5872235872235873,0,0,0,0.03501228501228501,0.12285012285012285,0.09031291532255276,5.837023796005959,147.48099072172866,9531.859858877731,0.4853301995903962,0.7054500918554807,0.4937597709908715,158.92364730115546,40.7358349911249,0,0,0,,,,,,4,3,1,0,0,2210,0.3064937193483748,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,815.5,815.5,152,1479,1506101367,1506103010,1643,0.005511328842620943,6.12369871402327e-4,6.12369871402327e-4,0.004898958971218616,0.002449479485609308,0.001224739742804654,0.004286589099816289,0.03368034292712799,0.3129210042865891,0.5897121861604409,0.04409063074096754,0,0,0,0,0,0,0,0,1643,1,0
3,41.96442872285843,-87.64294219203293,America/Chicago,161,160.62417724635768,133.5,151,166,169,134.79666858316222,152.54801286469103,165.2374218141825,168.47365956266057,12.535871872696571,72,179,82,156.49213836477986,0,,,1,82.5,82.312106918239,81,82,83.5,85.5,80.70027101557297,81.63638774330865,83.45819425017169,85.23783219804048,155.20000000000005,178.92431865828092,229.39999999999998,8.588020972143454,5.357641623890345,14.54317,13.428711320754717,13.536,11.8224,12.7296,14.5116,15.181199999999999,13.81163007284079,12.060647356951474,12.818943870523416,14.60724197208817,15.285800987074031,22.9104,2.1486462380501203,1.5441318571711602,1506175065,1506180208,2017-09-23_13-57-45,0.5047827421878912,0.42740583293277756,,,-0.19033292104121616,-0.2790128676423386,0.5358643666217675,0.2877204612535446,generic,0.15166622933613225,0.03279979008134348,0.6184728417738127,0,0,0,0.05116767252689583,0.1458934662818158,0.005370799175496584,7.557685600606175,20.49496965369497,28840.128251913164,0.29156177424991647,0.6417714884696016,0.30433102410304247,119.06290893825393,54.54663495082144,5,1334,7,190.57142857142858,2,712,117,316.3363716046576,24,0,1,23,0,5226,2.54566336105662,0,0,0,0,0,0,0,1,3,9,8,1,0,1,0,0,0,1,0,476.125,271,1,1375,1506175065,1506180208,5143,0.01650943396226415,7.861635220125787e-4,0.0010482180293501049,0.0015723270440251573,0.0018343815513626835,0.0018343815513626835,0.019129979035639413,0.08359538784067086,0.24659329140461217,0.22693920335429768,0.27541928721174,0.07311320754716981,0.031446540880503145,0.01310272536687631,0.0041928721174004195,0.001310272536687631,5.241090146750524e-4,0.0010482180293501049,0,3809,0.7406183161578845,0.2593816838421155
4,41.94041817449033,-87.63768254779279,America/Chicago,148,148.03002892728216,143,146,156,159,142.84763459043933,145.49228736235264,155.166701073493,158.600825302569,7.62411470209295,76,170,82,149.4106115491157,0,,,1,82,81.62028553164288,80,81,82.5,83.5,79.7654315287884,80.58693623787815,82.2958686594772,83.2827691664078,170.79999999999995,186.0460686128276,240.39999999999998,32.368679200728025,13.578150883380204,16.39248,12.519181419134881,12.528,11.6892,12.1608,13.068,13.4712,12.540027068219228,11.720539051750615,12.164461381753764,13.084586818556547,13.468216545567481,14.7816,1.0171533650880273,0.7505360970073097,1506267289,1506272227,2017-09-24_15-34-49,0.4254928016173267,0.35479418177546107,,,-0.4027375248820012,-0.6952949514550288,0.43964122182050674,0.18147870101540264,generic,0.2888225255972696,0.023464163822525596,0.5157849829351536,0,0,0,0.016851535836177475,0.1550767918088737,-0.0268405063074283,3.7135780889146366,-125.962496100761,17427.82197127639,0.4318952170050932,0.6422331131472406,0.439586632648639,163.79534837496269,27.043744551566313,3,203,3,67.66666666666667,2,130,71,64.06507108661734,11,10,1,0,0,6365,0.48782276364195315,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,669.5714285714286,460,64,2182,1506267289,1506272227,4938,0.0038354996803750267,0.001065416577881952,8.523332623055614e-4,0.0012784998934583422,2.1308331557639036e-4,0.0014915832090347326,0.007884082676326443,0.18495631792030684,0.5339867888344343,0.24866822927764756,0.015768165352652887,0,0,0,0,0,0,0,0,4735,0.958890238963143,0.041109761036857026
5,41.96528744883835,-87.64816017821431,America/Chicago,161,160.43888402221972,148,155,165,166,147.9262007921108,154.97806251852828,164.14687788232357,165.57379109423945,7.152617392099082,56,170,83,158.41606792945788,0.0026058631921824105,,,1,83.5,83.30879478827362,82,83,84.5,85.5,81.87628587279498,82.73207544475176,84.2672951710985,85.28207359878724,167,189.59374592833876,274.4,42.430079772194375,29.179118598012934,5.64658,13.098887296416938,13.435200000000002,11.959200000000001,12.7656,13.975200000000001,14.1768,13.472238879329149,12.235736230182031,12.888708344962321,13.988909497441648,14.17149312810095,14.7816,1.6035410621724493,1.0243394793921765,1506382756,1506384318,2017-09-25_23-39-16,0.5230531120459861,0.251813088388758,,,0.40139712762978963,0.3779075684001894,0.7109504795710535,0.5085639650123426,generic,0.03725490196078431,0.040522875816993466,0.6633986928104575,0,0,0,0.10261437908496732,0.15620915032679739,0.06965826855801546,3.3716051373346425,106.92544223655372,5175.413885808676,0.3975540140679748,0.6045602605863192,0.4063167846599067,102.42916780273528,38.50504588457366,0,0,0,,,,,,4,3,1,0,0,2128,0.6499337812423654,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,510.6666666666667,45,7,1480,1506382756,1506384318,1562,0.008469055374592834,0.001954397394136808,0.0026058631921824105,0.005863192182410423,0.004560260586319218,0.005211726384364821,0.020195439739413682,0.05537459283387622,0.2006514657980456,0.45798045602605864,0.23713355048859935,0,0,0,0,0,0,0,0,1562,1,0
6,41.96517601143569,-87.64576856978238,America/Chicago,148,159.36714047787873,119,125,166,170,120.14152838642966,131.1342771820798,166.64318259120378,169.73626836106067,20.538641907059034,73,178,83,144.88767812238055,0,18,18,0,83,81.80280804694048,80,81,84.5,86,80.56748239617822,81.82954155563853,84.42212798178154,86.19636288278107,155.60000000000002,170.83595976529756,220.20000000000005,14.859254133719446,28.48922129015196,10.05552,14.83615976529757,16.4268,9.6084,11.116800000000001,18.5436,19.4832,17.499534457930466,10.366588751300728,13.102068904194079,18.842494555873927,19.614896683312242,21.229200000000002,4.1981812088595465,3.584751054543442,1506556103,1506561103,2017-09-27_23-48-23,0.8384591309221138,0.8646488502710137,-0.19655393034778457,0.007318708180265847,-0.08613555837248615,-0.16434690316676903,0.5101558174250895,0.3907436670097691,generic,0.14783704325913483,0.16127677446451072,0.5611087778244435,0,0,0,0.05501889962200756,0.0747585048299034,0.023274851078449278,6.667671953291182,55.533794673179976,15909.06528055276,0.1987055837788052,0.5268231349538977,0.210414161759344,24.196770613555188,49.342145530376364,8,2600,9,288.8888888888889,19,781,183.5,272.0603924551627,12,0,1,11,0,3260,8.627760444265729,1,0,0,0,0,0,1,1,0,1,0,0,1,2,2,2,0,0,1,215.9090909090909,245,2,457,1506556103,1506561103,5000,0.01760268231349539,0.0016764459346186086,0.0012573344509639564,0.0016764459346186086,0.00796311818943839,0.11274098910310143,0.08549874266554904,0.10729253981559095,0.028499580888516344,0.07041072925398156,0.05113160100586756,0.0012573344509639564,0.08549874266554904,0.07082984073763621,0.19027661357921208,0.1383067896060352,0.028080469404861693,0,0,2400,0.48,0.52
7,41.96718368679285,-87.6468593487516,America/Chicago,148,148.25174373393773,136,146,150,153,143.44104516977507,146.05375242933556,149.9954574630919,153.2248525639091,9.8288589598431,64,163,81,144.5255319148936,0,17,17,0,81,78.78794326241135,80,81,82,83,79.73972548484765,80.56921893104521,81.96615641942302,82.84804098331915,162.60000000000002,175.5381560283688,272.4,6.107465368126782,21.05395646321864,5.419689999999999,13.44711829787234,13.874400000000001,12.05316,13.068,14.7816,15.418800000000001,14.003720621552695,12.610087337514253,13.247677862181225,14.844483383299531,15.59273085964508,18.6084,2.781896056328917,1.5611527802969845,1506727762,1506729171,2017-09-29_23-29-22,0.8425200777261905,0.25130405525141114,-0.5749165674977805,0.12009681072951323,0.25912600514024287,-0.05722987276705663,0.6895468691986122,0.5465622060934107,generic,0.20284697508896798,0.100355871886121,0.5181494661921708,0,0,0,0.05907473309608541,0.1195729537366548,-0.047789768140817986,5.8211101985622635,-67.38357307855337,8207.765379972792,0.25152277397948736,0.5581560283687943,0.2612293864611031,176.68229281617724,44.267210800514306,0,0,0,,,,,,7,1,1,5,0,1839,0.8360832767818569,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1409,1409,1409,1409,1506727762,1506729171,1409,0.03049645390070922,0.0014184397163120568,0.004964539007092199,0.0035460992907801418,0.014184397163120567,0.01276595744680851,0.02127659574468085,0.011347517730496455,0.13546099290780142,0.3021276595744681,0.29858156028368793,0.12482269503546099,0.01702127659574468,0.019148936170212766,0.0028368794326241137,0,0,0,0,1409,1,0
8,41.974614285863936,-87.64986007008702,America/Chicago,153,152.54153303117542,149,151,155,160,148.3891052106449,150.46206996487882,154.66303975119132,159.3162522048046,6.268627280393217,75,170,82,152.76558752997602,0,20,20,0.017985611510791366,82,82.06774580335731,81,82,83,83,80.69579271421242,81.54573003308049,82.4143810768971,82.99775116644098,164.20000000000005,179.0904076738609,213,4.326343687462469,24.18971528994072,6.50893,14.02158129496403,14.1768,13.302,13.865400000000001,14.378400000000001,14.713199999999999,14.167795510051821,13.34991831987076,13.8925918398704,14.389095140839492,14.738840699573863,17.4996,1.1125433288833866,0.919751293083529,1506786763,1506788430,2017-09-30_15-52-43,0.7318682698037694,0.5724267758853904,0.06154922885889426,0.21663901173487732,0.19625646037128242,0.293463683914828,0.584254079485294,0.5983338630603051,generic,0.2898376428141912,0.01803968731208659,0.5357787131689717,0,0,0,0.011425135297654841,0.1449188214070956,-0.12191027070925657,4.836480795217108,-203.34633154303995,8067.249966422137,0.5051283452693811,0.6720623501199041,0.5092594703357894,162.38021532690396,31.102196699910465,0,0,0,,,,,,5,4,1,0,0,2269,0.985271398143679,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1667,1667,1667,1667,1506786763,1506788430,1667,0.002997601918465228,0.0017985611510791368,0.001199040767386091,0.001199040767386091,0.0017985611510791368,0.004796163069544364,0.004796163069544364,0.0077937649880095924,0.03836930455635491,0.24820143884892087,0.63189448441247,0.03357314148681055,0.013788968824940047,0.0077937649880095924,0,0,0,0,0,1667,1,0
9,41.98251435533166,-87.65497282147408,America/Chicago,158,157.78975557823802,141,147,162,164,141.2736118922041,147.00716763657144,161.8411907886238,164.72090784044016,11.895271816379568,77,170,82,153.62598870056496,0,15,15,0.03954802259887006,82,80.61638418079096,81,82,83.5,84.5,80.99124015030264,81.6820969608512,83.09626763921182,84.3801013077194,172,211.89581920903956,278.4,9.154816502532498,25.79230852125164,3.27387,12.057575593220339,12.495600000000001,10.278,11.4552,13.100399999999999,13.69224,12.673152950706793,10.578814726097312,11.73452847519902,13.174389228251977,13.847107161390763,20.9268,2.355751434949943,1.5760906588314152,1506863028,1506863988,2017-10-01_13-03-48,0.3151623456016874,0.3749964943630308,0.1426320234564718,0.1539551872579113,-0.060776097758716736,-0.04502181077753808,0.6701183088751428,0.40206031878390136,generic,0.8715909090909091,0.05,0.022727272727272728,0,0,0,0.013636363636363636,0.042045454545454546,-0.1491388592960928,2.624341321358922,-131.98789047704213,2322.5420694026457,0.7068574949239336,0.8112994350282486,0.682571391550596,177.9743046191095,17.89765921477707,1,54,3,18,54,54,54,,2,2,1,0,0,1221,0.04582051942088826,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,176,212,6,283,1506863028,1506863988,960,0.02598870056497175,0.004519774011299435,0,0.004519774011299435,0.00903954802259887,0.02598870056497175,0.10847457627118644,0.18757062146892656,0.3559322033898305,0.2135593220338983,0.031638418079096044,0.01694915254237288,0.005649717514124294,0.0022598870056497176,0.006779661016949152,0,0.0011299435028248588,0,0,906,0.94375,0.05625
10,41.986557031050324,-87.653998718597,America/Chicago,166,165.3295987362405,162,163,169,172,161.10752448080257,162.84380974110604,168.40373371891664,171.22206573888351,6.071809382558548,121,175,83,165.4359464627151,0,15,15,0.0124282982791587,83,83.4187380497132,82,82,84.5,85.5,81.56543076285476,81.9714728541339,84.09719129351082,85.3921236387551,154.79999999999995,185.7806883365201,232.79999999999995,36.09842040880375,9.615373377990778,4.79054,16.410094072657746,16.1244,15.418800000000001,15.685200000000002,17.0964,18.003600000000002,16.20859725506355,15.44139176141659,15.712427893411109,17.15645197147651,18.13778626711649,20.120400000000004,1.2566911722580874,1.138256405756461,1506864585,1506865631,2017-10-01_13-29-45,-0.0037461837936329993,0.5621308982200679,-0.010917529971068067,0.46590431266543897,-0.10692044158098314,-0.06774155170705082,0.7062419950232983,-0.10783320161447071,generic,0.3390970220941403,0.004803073967339097,0.5196926032660903,0,0,0,0.011527377521613832,0.12487992315081652,-0.14953290434010014,8.847203720344694,-156.41141793974475,9254.17509148055,0.5580381178099473,0.737093690248566,0.5557196728192421,168.395073859851,20.917316214828478,0,0,0,,,,,,4,2,1,1,0,1488,0.724082674837619,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1046,1046,1046,1046,1506864585,1506865631,1046,0.0028680688336520078,9.560229445506692e-4,0,0,0,0,0,0,0,9.560229445506692e-4,0.0057361376673040155,0.4445506692160612,0.27915869980879543,0.16252390057361377,0.07648183556405354,0.02390057361376673,0.0028680688336520078,0,0,1046,1,0
